"photoID";"userID";"dateTaken";"poiID";"poiTheme";"poiFreq";"seqID"
2462154829;"10559879@N00";1209721432;12;"Place of Worship";95;53
2462989658;"10559879@N00";1209721604;12;"Place of Worship";95;53
2462157115;"10559879@N00";1209721679;12;"Place of Worship";95;53
2462158045;"10559879@N00";1209721751;12;"Place of Worship";95;53
4842385401;"10559879@N00";1280465480;203;"Mixed Use";176;54
4921667529;"10559879@N00";1282599491;202;"Transport";358;55
4921667959;"10559879@N00";1282599540;65;"Community Use";500;55
4921668265;"10559879@N00";1282599713;203;"Mixed Use";176;55
4980397659;"10559879@N00";1284006963;105;"Mixed Use";150;56
4980397783;"10559879@N00";1284007464;102;"Purpose Built";4;56
4976420318;"10559879@N00";1284104297;38;"Community Use";455;57
4999640298;"10559879@N00";1284672801;159;"Transport";27;58
5101237359;"10559879@N00";1287647198;203;"Mixed Use";176;59
5160003105;"10559879@N00";1289279121;235;"Retail";529;60
5326417150;"10559879@N00";1294160246;2;"Mixed Use";138;61
6256479596;"10559879@N00";1318909153;90;"Community Use";396;62
6321149637;"10559879@N00";1320648832;137;"Transport";42;63
6324314551;"10559879@N00";1320722656;38;"Community Use";455;64
6420826759;"10559879@N00";1322513511;54;"Education Centre";2;65
6427724101;"10559879@N00";1322599582;230;"Community Use";476;66
6508946147;"10559879@N00";1323829027;4;"Leisure/Recreation";96;67
6508949429;"10559879@N00";1323829087;4;"Leisure/Recreation";96;67
6713710853;"10559879@N00";1326772112;203;"Mixed Use";176;68
6747567579;"10559879@N00";1327300443;68;"Office";106;69
6879130009;"10559879@N00";1329278415;38;"Community Use";455;70
6945326123;"10559879@N00";1330638628;137;"Transport";42;71
6799217708;"10559879@N00";1330638690;137;"Transport";42;71
7004977447;"10559879@N00";1332390957;165;"Transport";42;72
7919104944;"10559879@N00";1346643883;2;"Mixed Use";138;73
8227983333;"10559879@N00";1354137352;54;"Education Centre";2;74
8776880348;"10559879@N00";1369175231;190;"Transport";351;75
8798502576;"10559879@N00";1369276417;201;"Mixed Use";104;76
8787951507;"10559879@N00";1369276420;201;"Mixed Use";104;76
8865413697;"10559879@N00";1369711616;235;"Retail";529;77
8874684388;"10559879@N00";1369795280;203;"Mixed Use";176;78
9050098844;"10559879@N00";1371282622;95;"Purpose Built";116;79
9047924665;"10559879@N00";1371283264;95;"Purpose Built";116;79
9047932009;"10559879@N00";1371283849;95;"Purpose Built";116;79
9047937589;"10559879@N00";1371286235;95;"Purpose Built";116;79
9047960675;"10559879@N00";1371286370;95;"Purpose Built";116;79
9050209144;"10559879@N00";1371286588;95;"Purpose Built";116;79
9050216532;"10559879@N00";1371287522;95;"Purpose Built";116;79
9048004887;"10559879@N00";1371288388;95;"Purpose Built";116;79
9122913893;"10559879@N00";1372035642;203;"Mixed Use";176;80
9259492655;"10559879@N00";1373541850;163;"Transport";91;81
9312550152;"10559879@N00";1373853082;38;"Community Use";455;82
9309762115;"10559879@N00";1373853117;38;"Community Use";455;82
9308046038;"10559879@N00";1374063429;236;"Retail";94;83
9352889549;"10559879@N00";1374623718;203;"Mixed Use";176;84
9365593694;"10559879@N00";1374753044;236;"Retail";94;85
9368028971;"10559879@N00";1374839775;6;"Place of Worship";67;86
9370830046;"10559879@N00";1374840040;6;"Place of Worship";67;86
9368054747;"10559879@N00";1374840117;6;"Place of Worship";67;86
9413160340;"10559879@N00";1375239699;6;"Place of Worship";67;87
9413160590;"10559879@N00";1375239768;6;"Place of Worship";67;87
9422655830;"10559879@N00";1375443842;201;"Mixed Use";104;88
9545419236;"10559879@N00";1376880380;12;"Place of Worship";95;89
9542638217;"10559879@N00";1376880431;12;"Place of Worship";95;89
9542652611;"10559879@N00";1376881115;12;"Place of Worship";95;89
9551302066;"10559879@N00";1376951876;190;"Transport";351;90
9548528341;"10559879@N00";1376951993;190;"Transport";351;90
9548546641;"10559879@N00";1376952086;190;"Transport";351;90
9571019111;"10559879@N00";1377212608;202;"Transport";358;91
9570998253;"10559879@N00";1377212885;202;"Transport";358;91
9599453082;"10559879@N00";1377484605;12;"Place of Worship";95;92
9613298824;"10559879@N00";1377656913;5;"Place of Worship";52;93
9610080751;"10559879@N00";1377657519;5;"Place of Worship";52;93
9610092971;"10559879@N00";1377658889;5;"Place of Worship";52;93
9610101095;"10559879@N00";1377659477;5;"Place of Worship";52;93
9627427836;"10559879@N00";1377829131;12;"Place of Worship";95;94
9735131672;"10559879@N00";1379024857;163;"Transport";91;95
9731909965;"10559879@N00";1379024872;163;"Transport";91;95
9731893277;"10559879@N00";1379025219;163;"Transport";91;95
9735421322;"10559879@N00";1379030006;163;"Transport";91;95
9733171031;"10559879@N00";1379039319;177;"Place Of Assembly";133;95
9895241934;"10559879@N00";1379918133;203;"Mixed Use";176;96
9927465543;"10559879@N00";1380077788;203;"Mixed Use";176;97
10045213025;"10559879@N00";1380666948;163;"Transport";91;98
10046058583;"10559879@N00";1380672636;203;"Mixed Use";176;98
6775785473;"10602166@N06";1323921431;150;"Community Use";258;99
6775789101;"10602166@N06";1323922719;150;"Community Use";258;99
4800595433;"10681948@N00";1279346196;179;"Place Of Assembly";44;100
5108914177;"10681948@N00";1287890357;201;"Mixed Use";104;101
5625985237;"10681948@N00";1303013299;38;"Community Use";455;102
5626027815;"10681948@N00";1303014585;62;"Place Of Assembly";113;102
5626640474;"10681948@N00";1303015351;62;"Place Of Assembly";113;102
5627175136;"10681948@N00";1303034557;179;"Place Of Assembly";44;102
5847764324;"10681948@N00";1308460321;179;"Place Of Assembly";44;103
5847764560;"10681948@N00";1308460350;179;"Place Of Assembly";44;103
5847764886;"10681948@N00";1308460452;179;"Place Of Assembly";44;103
5944390967;"10681948@N00";1310865071;132;"Leisure/Recreation";129;104
5944397255;"10681948@N00";1310865236;132;"Leisure/Recreation";129;104
6060820481;"10681948@N00";1313820283;50;"Leisure/Recreation";12;105
6154271482;"10681948@N00";1316212940;39;"Leisure/Recreation";2;106
6900922085;"10681948@N00";1329633566;179;"Place Of Assembly";44;107
6930658749;"10681948@N00";1330239342;119;"Leisure/Recreation";15;108
6828736230;"10681948@N00";1331521978;57;"Place Of Assembly";58;109
7572430292;"10681948@N00";1342327692;222;"Leisure/Recreation";69;110
7572960190;"10681948@N00";1342328630;222;"Leisure/Recreation";69;110
7708254244;"10681948@N00";1344051595;222;"Leisure/Recreation";69;111
7952492434;"10681948@N00";1347063592;211;"Leisure/Recreation";3;112
7952761320;"10681948@N00";1347068078;211;"Leisure/Recreation";3;112
7953410524;"10681948@N00";1347078697;211;"Leisure/Recreation";3;112
7960386150;"10681948@N00";1347169007;125;"Place Of Assembly";116;113
7960467254;"10681948@N00";1347170387;124;"Place Of Assembly";187;113
7960686740;"10681948@N00";1347174035;50;"Leisure/Recreation";12;113
7960723484;"10681948@N00";1347174473;50;"Leisure/Recreation";12;113
8555406287;"10896675@N00";1362641829;95;"Purpose Built";116;114
8556605918;"10896675@N00";1362879115;65;"Community Use";500;115
8555496715;"10896675@N00";1362882407;51;"Place Of Assembly";97;115
8556609412;"10896675@N00";1362882422;51;"Place Of Assembly";97;115
8556611970;"10896675@N00";1362883560;51;"Place Of Assembly";97;115
8555510607;"10896675@N00";1362908347;131;"Place Of Assembly";331;115
8556623222;"10896675@N00";1362912547;230;"Community Use";476;115
8555514461;"10896675@N00";1362944157;230;"Community Use";476;116
331532686;"10936890@N00";1163900800;190;"Transport";351;117
331532744;"10936890@N00";1163900830;230;"Community Use";476;117
331532836;"10936890@N00";1163900859;230;"Community Use";476;117
331532955;"10936890@N00";1163905407;188;"Place of Worship";225;117
331533026;"10936890@N00";1163906993;90;"Community Use";396;117
331533084;"10936890@N00";1163907941;4;"Leisure/Recreation";96;117
331533148;"10936890@N00";1163909112;124;"Place Of Assembly";187;117
331533219;"10936890@N00";1163912419;136;"Transport";327;117
331533274;"10936890@N00";1163914197;201;"Mixed Use";104;117
331533354;"10936890@N00";1163916571;163;"Transport";91;117
331533686;"10936890@N00";1164074291;51;"Place Of Assembly";97;118
331533785;"10936890@N00";1164074614;51;"Place Of Assembly";97;118
331533847;"10936890@N00";1164075053;51;"Place Of Assembly";97;118
331533927;"10936890@N00";1164075230;51;"Place Of Assembly";97;118
331533990;"10936890@N00";1164075704;51;"Place Of Assembly";97;118
331534054;"10936890@N00";1164076800;51;"Place Of Assembly";97;118
331534116;"10936890@N00";1164079030;51;"Place Of Assembly";97;118
331534330;"10936890@N00";1164085495;150;"Community Use";258;118
331534384;"10936890@N00";1164085568;150;"Community Use";258;118
331534449;"10936890@N00";1164085779;150;"Community Use";258;118
8207010091;"10966462@N02";1353542032;202;"Transport";358;119
8208091296;"10966462@N02";1353545857;65;"Community Use";500;119
8206999303;"10966462@N02";1353545868;65;"Community Use";500;119
8206999671;"10966462@N02";1353545875;65;"Community Use";500;119
8206999891;"10966462@N02";1353545883;65;"Community Use";500;119
8208089890;"10966462@N02";1353545964;12;"Place of Worship";95;119
8208095702;"10966462@N02";1353550725;47;"Retail";473;119
8208101636;"10966462@N02";1353551312;47;"Retail";473;119
8208096330;"10966462@N02";1353552578;201;"Mixed Use";104;119
8208096744;"10966462@N02";1353552600;202;"Transport";358;119
8208100544;"10966462@N02";1353553473;202;"Transport";358;119
8208101886;"10966462@N02";1353554268;202;"Transport";358;119
8212761718;"10966462@N02";1353566409;65;"Community Use";500;119
8211674781;"10966462@N02";1353619975;95;"Purpose Built";116;120
12403570003;"110608682@N04";1388330428;95;"Purpose Built";116;121
12403929754;"110608682@N04";1388332056;228;"Leisure/Recreation";156;121
12404123504;"110608682@N04";1388332447;131;"Place Of Assembly";331;121
12403377205;"110608682@N04";1388332481;131;"Place Of Assembly";331;121
12403676493;"110608682@N04";1388333027;131;"Place Of Assembly";331;121
12403593483;"110608682@N04";1388333866;131;"Place Of Assembly";331;121
12403759023;"110608682@N04";1388418209;177;"Place Of Assembly";133;122
12403620793;"110608682@N04";1388420056;177;"Place Of Assembly";133;122
12403582753;"110608682@N04";1388449068;218;"Purpose Built";287;123
12403576693;"110608682@N04";1388449794;218;"Purpose Built";287;123
12403901224;"110608682@N04";1388450360;218;"Purpose Built";287;123
7680603950;"11061346@N00";1343694229;190;"Transport";351;124
3384641714;"11068240@N07";1237963119;70;"Leisure/Recreation";291;125
11944231063;"110846737@N06";1237255588;235;"Retail";529;126
11945043206;"110846737@N06";1237255588;235;"Retail";529;126
11944913276;"110846737@N06";1237255588;235;"Retail";529;126
11944690786;"110846737@N06";1237255588;235;"Retail";529;126
11944770136;"110846737@N06";1389623652;235;"Retail";529;127
11944411514;"110846737@N06";1389623902;235;"Retail";529;127
11944113385;"110846737@N06";1389624774;235;"Retail";529;127
6099443829;"11089308@N04";1303706547;237;"Leisure/Recreation";18;128
6975354570;"11089308@N04";1315027697;237;"Leisure/Recreation";18;129
9425348409;"11237774@N04";1375516104;242;"Mixed Use";45;130
3833499880;"11376310@N00";1232693416;123;"Leisure/Recreation";258;131
3833501210;"11376310@N00";1232693677;123;"Leisure/Recreation";258;131
3832708461;"11376310@N00";1232693957;123;"Leisure/Recreation";258;131
3836111463;"11376310@N00";1232757526;123;"Leisure/Recreation";258;132
3836903988;"11376310@N00";1232757615;123;"Leisure/Recreation";258;132
3836905460;"11376310@N00";1232757659;123;"Leisure/Recreation";258;132
3836116895;"11376310@N00";1232757711;123;"Leisure/Recreation";258;132
3836908996;"11376310@N00";1232758066;123;"Leisure/Recreation";258;132
3836910590;"11376310@N00";1232758101;123;"Leisure/Recreation";258;132
3836912428;"11376310@N00";1232758655;123;"Leisure/Recreation";258;132
3836123419;"11376310@N00";1232758665;123;"Leisure/Recreation";258;132
3836125171;"11376310@N00";1232759086;123;"Leisure/Recreation";258;132
5377643500;"11376310@N00";1295650869;120;"Leisure/Recreation";357;133
8107607639;"11576733@N00";1350794255;124;"Place Of Assembly";187;134
8107621050;"11576733@N00";1350794414;124;"Place Of Assembly";187;134
6298610434;"11674539@N06";1318734368;5;"Place of Worship";52;135
6356564431;"11674539@N06";1319867398;236;"Retail";94;136
6356564807;"11674539@N06";1319867502;38;"Community Use";455;136
9519964527;"11706283@N04";1363984361;79;"Place Of Assembly";57;137
3048633147;"11845250@N00";1227196040;123;"Leisure/Recreation";258;138
3048631683;"11845250@N00";1227196240;123;"Leisure/Recreation";258;138
3048630953;"11845250@N00";1227196240;123;"Leisure/Recreation";258;138
3085968509;"11845250@N00";1228467233;97;"Office";148;139
3085968937;"11845250@N00";1228468320;97;"Office";148;139
3085972359;"11845250@N00";1228468320;97;"Office";148;139
3085970047;"11845250@N00";1228468764;97;"Office";148;139
3085970643;"11845250@N00";1228468765;97;"Office";148;139
3086807808;"11845250@N00";1228468804;97;"Office";148;139
3085971303;"11845250@N00";1228468835;97;"Office";148;139
3085971599;"11845250@N00";1228468890;97;"Office";148;139
3950307730;"11845250@N00";1253765204;200;"Education Centre";39;140
4120507603;"11845250@N00";1258702474;123;"Leisure/Recreation";258;141
4121286368;"11845250@N00";1258704941;123;"Leisure/Recreation";258;141
4120508775;"11845250@N00";1258705686;123;"Leisure/Recreation";258;141
4120509825;"11845250@N00";1258706385;123;"Leisure/Recreation";258;141
1337836035;"11942827@N02";858549600;2;"Mixed Use";138;142
1337837733;"11942827@N02";858553200;65;"Community Use";500;142
1338722406;"11942827@N02";858553200;235;"Retail";529;142
1338715376;"11942827@N02";943966800;51;"Place Of Assembly";97;143
1338711112;"11942827@N02";943966800;188;"Place of Worship";225;143
1337825965;"11942827@N02";943966800;188;"Place of Worship";225;143
1338710610;"11942827@N02";943966800;189;"Place Of Assembly";765;143
1338709136;"11942827@N02";943966800;189;"Place Of Assembly";765;143
5335267462;"12175332@N06";1294398871;124;"Place Of Assembly";187;144
5335268400;"12175332@N06";1294398911;23;"Place of Worship";8;144
5818094938;"12175332@N06";1307646420;189;"Place Of Assembly";765;145
6203595506;"12175332@N06";1317492735;173;"Place Of Assembly";13;146
534277817;"12199582@N00";1181178801;51;"Place Of Assembly";97;147
767368518;"12199582@N00";1182835024;35;"Community Use";349;148
767368498;"12199582@N00";1182835057;35;"Community Use";349;148
5498602496;"12210244@N04";1298759088;235;"Retail";529;149
5832357602;"12210244@N04";1307717944;19;"Place of Worship";27;150
8448984001;"12238277@N04";1360014766;216;"Place Of Assembly";25;151
8448985585;"12238277@N04";1360014883;217;"Community Use";44;151
8448988003;"12238277@N04";1360014927;217;"Community Use";44;151
8450080896;"12238277@N04";1360021494;38;"Community Use";455;151
8450081550;"12238277@N04";1360021531;38;"Community Use";455;151
8450082224;"12238277@N04";1360021556;38;"Community Use";455;151
8448997925;"12238277@N04";1360021623;38;"Community Use";455;151
8455746089;"12238277@N04";1360058284;189;"Place Of Assembly";765;152
8455746465;"12238277@N04";1360058406;189;"Place Of Assembly";765;152
8455746767;"12238277@N04";1360106782;183;"Place Of Assembly";14;153
7805943530;"12275071@N00";1345263249;190;"Transport";351;154
7884380070;"12275071@N00";1346204366;190;"Transport";351;155
7979179962;"12275071@N00";1347449439;189;"Place Of Assembly";765;156
8583246561;"12275071@N00";1364078846;137;"Transport";42;157
2232924841;"12284993@N00";1197699658;241;"Place Of Assembly";23;158
2232924925;"12284993@N00";1197700686;241;"Place Of Assembly";23;158
2233713844;"12284993@N00";1197705157;241;"Place Of Assembly";23;158
2233713908;"12284993@N00";1197707202;188;"Place of Worship";225;158
2233713502;"12284993@N00";1197711178;236;"Retail";94;158
2232924703;"12284993@N00";1197711388;236;"Retail";94;158
2233713624;"12284993@N00";1197711432;236;"Retail";94;158
2233713674;"12284993@N00";1197711550;2;"Mixed Use";138;158
2232924227;"12284993@N00";1197741106;208;"Leisure/Recreation";51;159
2233713104;"12284993@N00";1197741192;208;"Leisure/Recreation";51;159
2233711684;"12284993@N00";1197850111;178;"Place Of Assembly";66;160
2232922627;"12284993@N00";1197882293;235;"Retail";529;161
2281841112;"12284993@N00";1197937578;188;"Place of Worship";225;162
2287755119;"12284993@N00";1198103767;62;"Place Of Assembly";113;163
2281050731;"12284993@N00";1198114003;213;"Leisure/Recreation";105;163
2281841594;"12284993@N00";1198114287;213;"Leisure/Recreation";105;163
2281841672;"12284993@N00";1198126567;188;"Place of Worship";225;163
2281050943;"12284993@N00";1198131544;190;"Transport";351;163
2281841756;"12284993@N00";1198136799;230;"Community Use";476;163
2281051059;"12284993@N00";1198137392;230;"Community Use";476;163
2281841906;"12284993@N00";1198137923;97;"Office";148;163
2281051163;"12284993@N00";1198138430;97;"Office";148;163
2281842068;"12284993@N00";1198193190;178;"Place Of Assembly";66;164
2281051291;"12284993@N00";1198193206;178;"Place Of Assembly";66;164
2281864550;"12284993@N00";1198217893;35;"Community Use";349;164
2281864606;"12284993@N00";1198217937;35;"Community Use";349;164
2281864670;"12284993@N00";1198217997;35;"Community Use";349;164
2281074097;"12284993@N00";1198218316;35;"Community Use";349;164
2281074593;"12284993@N00";1198225456;38;"Community Use";455;164
2281074717;"12284993@N00";1198226681;38;"Community Use";455;164
2281074867;"12284993@N00";1198226701;38;"Community Use";455;164
2281865646;"12284993@N00";1198227082;38;"Community Use";455;164
2281865778;"12284993@N00";1198227512;38;"Community Use";455;164
2281865952;"12284993@N00";1198227570;38;"Community Use";455;164
2281866026;"12284993@N00";1198227685;38;"Community Use";455;164
2281075455;"12284993@N00";1198228415;236;"Retail";94;164
2281099181;"12284993@N00";1198235121;177;"Place Of Assembly";133;164
2281889782;"12284993@N00";1198235148;177;"Place Of Assembly";133;164
2281889666;"12284993@N00";1198235184;177;"Place Of Assembly";133;164
2281889856;"12284993@N00";1198235334;177;"Place Of Assembly";133;164
2281889904;"12284993@N00";1198235497;177;"Place Of Assembly";133;164
2281099437;"12284993@N00";1198236056;177;"Place Of Assembly";133;164
2281889962;"12284993@N00";1198239935;177;"Place Of Assembly";133;164
2281099493;"12284993@N00";1198239948;177;"Place Of Assembly";133;164
2281099549;"12284993@N00";1198240494;177;"Place Of Assembly";133;164
2281890158;"12284993@N00";1198240733;177;"Place Of Assembly";133;164
2281890190;"12284993@N00";1198241234;177;"Place Of Assembly";133;164
2281099687;"12284993@N00";1198241253;177;"Place Of Assembly";133;164
6349672966;"12296141@N06";1320975963;130;"Community Use";226;165
6349673270;"12296141@N06";1320975969;130;"Community Use";226;165
6349673598;"12296141@N06";1320975991;130;"Community Use";226;165
3423663730;"12413207@N03";1231971164;132;"Leisure/Recreation";129;166
3389478162;"12413207@N03";1231971302;132;"Leisure/Recreation";129;166
8126487089;"12505664@N00";1351270842;215;"Transport";12;167
8126938125;"12505664@N00";1351288883;231;"Place Of Assembly";121;167
8126944773;"12505664@N00";1351289197;230;"Community Use";476;167
8127017641;"12505664@N00";1351292564;131;"Place Of Assembly";331;167
8127344141;"12505664@N00";1351305650;57;"Place Of Assembly";58;167
10342401653;"12585995@N00";1382057850;120;"Leisure/Recreation";357;168
8717013603;"12644939@N02";1341148920;223;"Leisure/Recreation";204;169
8717013301;"12644939@N02";1341150023;223;"Leisure/Recreation";204;169
7541039414;"12644939@N02";1341159244;201;"Mixed Use";104;169
7540967048;"12644939@N02";1341256228;131;"Place Of Assembly";331;170
6763163731;"12900555@N02";1320527357;47;"Retail";473;171
6763154405;"12900555@N02";1320533839;11;"Place of Worship";35;171
6763155585;"12900555@N02";1320533867;11;"Place of Worship";35;171
6763158097;"12900555@N02";1320538753;11;"Place of Worship";35;171
6763153105;"12900555@N02";1320544959;57;"Place Of Assembly";58;171
8226775596;"12938647@N00";1354093659;201;"Mixed Use";104;172
8343541683;"12938647@N00";1357265188;65;"Community Use";500;173
8387276403;"12938647@N00";1358374675;161;"Transport";39;174
8457912050;"12938647@N00";1360323045;90;"Community Use";396;175
8469638606;"12938647@N00";1360707908;38;"Community Use";455;176
8438133527;"12999654@N08";1331176273;99;"Leisure/Recreation";386;177
7947585154;"12999654@N08";1346982701;164;"Transport";70;178
7947589136;"12999654@N08";1346984062;164;"Transport";70;178
7947597310;"12999654@N08";1346986650;5;"Place of Worship";52;178
7947593522;"12999654@N08";1346987098;5;"Place of Worship";52;178
7952871044;"12999654@N08";1347059282;4;"Leisure/Recreation";96;179
3510721256;"13078717@N07";1241136337;130;"Community Use";226;180
3510721750;"13078717@N07";1241147565;130;"Community Use";226;180
3509911989;"13078717@N07";1241147635;130;"Community Use";226;180
3510722704;"13078717@N07";1241147686;130;"Community Use";226;180
3510723162;"13078717@N07";1241147717;130;"Community Use";226;180
