"poiID";"title";"text";
"2";"";"It's a Municipal Council that doesn't have an email address to contact them directly on, relying on portal systems that seem aimed at dismissing and not responding in writing. It seems there is a reluctance to put things in writing. These things are a concern with respect to transparency and good governance - it would be good to see a better demonstration of governance from the City of Melbourne.";
"2";"";"Council house 2 have a free tour in the last week of July book on line.The new coffee shop owners are very friendly and have good coffee. Just tell them how you like your coffee. I never had a chai latte. After the first time I tried it, I now drink one a day. When you are in the city, come in, the security guards are friendly. I hope you all have a great tour and enjoy your coffee in a #COFFEE HOUSE 2";
"2";"";"Council House 2 was a surprise discovery when looking for a place for a couple of drinks.  With a very modern design, this place is tucked away that most wouldn't even know it existed.  We managed to get an outside seat in the alleyway.  For a warm Melbourne night is was a prime spot.  The wait staff were really friendly, and offered table service.  The drinks menu states a selection unique local and imported beers.  Unfortunately many of the local beers were not available, but I did get to try a nice raspberry beer.  There are large tables out the back, great for drinks with friends, or smaller tables for 2-4 people. The only downfall of the Council House 2 is the toilets. They were pretty messy with paper towels and urine on the floor.  They are also unisex, so I couldn't imagine they were very nice for women.  There are extra toilets located upstairs which fair a little better as they are less used. Certainly stop for a drop. If they could manage to keep their selection of local beers stocked up and keep the toilets cleans, this fashionable little place would be a winner.";
"2";"";"A distinctive and significant office building in Melbourne CBD for its environmentally sustainable design features and elegant facade.";
"2";"";"I arrived there 5 mins after the last tour but the guard said no even though there were 2 women from geelong and I'd experienced struggles most of the day.";
"2";"";"Nice architecture~ sustainable!!! There is a nice cafe in front of the building.";
"2";"";"very nice i like it";
"2";"";"Unique eco architecture";
"2";"";"tehc projct go brrrr";
"2";"";"Average service.";
"3";"An oasis in the city";"I've been coming here for years as a member and find it a great relaxing to unwind while in the city. They hold some great members events as well";
"3";"A great institution";"The Melbourne Athenaeum Library is a real institution in this large city. The Library has been operating from the same spot since 1839! It is the oldest subscription-based library in Victoria. It lends books of all types, plus more, to everyone who cares to walk in and become a member.";
"3";"Leading library has a long history";"In 1839, the Melbourne Mechanics Institute was founded to help educate the working men of Melbourne. It was renamed the Athenaeum Library in 1873, a name which it retains to this day. The stuccoed facade, in classical style, dates from the Victorian Land Boom of the 1880s. The Athenaeum Library continues to lend books. Crime stories and biographies are in demand. Other newer formats, such as audio books, are popular. Melburnians remain voracious readers. The  Athenaeum offers popular books which often can't be found in council libraries. The Athenaeum offers a welcoming space for all book-lovers.";
"3";"Beloved lending library clings to life";"The Melbourne Athenaeum lending library is beloved of pulp fiction fans. The library is a survivor of an earlier age, when readers paid to borrow books. With the virus, the library no longer admits patrons, but you can click and collect." It's open for collections Wednesday to Saturday 11:00 am to 3:00 pm. Crime fictions is popular, as is romance. Some borrowers can't get enough books, especially when many people are in lock-down, with nothing much to do.";
"3";"Melbourne Athenaeum Library";"This is in the Athenaeum Theatre building. It is Victoria's oldest subscription library, operating since 1839. It was established as Melbourne's first mechanics institute. As all other libraries it is closed due to COVID 19, but I have been inside before many times and although old is still looks elegant";
"3";"An oasis in the city";"I've been coming here for years as a member and find it a great relaxing to unwind while in the city. They hold some great members events as well";
"3";"A great institution";"The Melbourne Athenaeum Library is a real institution in this large city. The Library has been operating from the same spot since 1839! It is the oldest subscription-based library in Victoria. It lends books of all types, plus more, to everyone who cares to walk in and become a member.";
"3";"Leading library has a long history";"In 1839, the Melbourne Mechanics Institute was founded to help educate the working men of Melbourne. It was renamed the Athenaeum Library in 1873, a name which it retains to this day. The stuccoed facade, in classical style, dates from the Victorian Land Boom of the 1880s. The Athenaeum Library continues to lend books. Crime stories and biographies are in demand. Other newer formats, such as audio books, are popular. Melburnians remain voracious readers. The Athenaeum offers popular books which often can't be found in council libraries. The Athenaeum offers a welcoming space for all book-lovers.";
"3";"Beloved lending library clings to life";"The Melbourne Athenaeum lending library is beloved of pulp fiction fans. The library is a survivor of an earlier age, when readers paid to borrow books. With the virus, the library no longer admits patrons, but you can click and collect." It's open for collections Wednesday to Saturday 11:00 am to 3:00 pm. Crime fictions is popular, as is romance. Some borrowers can't get enough books, especially when many people are in lock-down, with nothing much to do.";
"3";"Melbourne Athenaeum Library";"This is in the Athenaeum Theatre building. It is Victoria's oldest subscription library, operating since 1839. It was established as Melbourne's first mechanics institute. As all other libraries it is closed due to COVID 19, but I have been inside before many times and although old is still looks elegant";
"4";"Gardens are listed by UNESCO";"The Royal Exhibition Building and the adjoining Carlton Gardens remain from the time when Melbourne was truly Marvelous. The Royal Exhibition Building and Carlton Gardens have been described by the UNESCO World Heritage Committee as a rare intact reminder of the 19th century international exhibition movement, which fostered a global exchange of products and ideas." Apart from the trees and gardens, Carlton Gardens acts as a habitat for a variety of wildlife including brush tailed possums and many native birds.";
"4";"World Heritage Listed Gardens on the edge of inner city Melbourne";"These peaceful Victorian designed gardens house the Royal Exhibition Buildings, as well as water features, wildlife and an amazing array of trees. If you are visiting Melbourne, put them on your agenda.";
"4";"Nice on a hot day";"This is a lovely green space very close to the city grid. You can see lots of old trees and the exhibition building.";
"4";"Nice";"A nice garden, Carlton Gardens is good for a stroll through it, and good views / clicks of the attractions around it.";
"4";"Lots of lawn and shady trees";"Carlton Gardens comprise a very large expanse of lawn, with many mature trees. The enormous Morton Bay Fig tree provides a shady spot to rest in the summer. The Gardens contain the Exhibition Buildings, one of Melbourne's most notable historic structures. The Carlton Gardens are within easy walking distance of the Melbourne CBD, or you can catch a tram.";
"4";"Carlton Gardens";"My wife and I visited these Gardens as part of our visit to The Melbourne International Flower and Garden Show 2022. We have been here before many years ago.<br><br>These Gardens are well maintained. There is a pond with some ducks swimming in it. It is a very pleasant place for a walk.";
"4";"This is amazing.";"The Carlton Gardens are quite large with bits of everything. There are large exhibition buildings, the Melbourne Museum and lots of open green space. This is maintained to a very high standard as well.";
"4";"One of Melbournes best gardens and Architecture";"Set in beautiful gardens, the Melbourne Exhibition building and the Melbourne Museum are a must see. Very close to the centre of the city, they are two completely different styles of outstanding architectural buildings in a stunning setting. Literally 5-10 minutes on the tram from the city centre.";
"4";"Great park for family picnic";"This is a great spot to have a family picnic and get away from the chaos of the city- yet located within close proximity to the CBD. Quiet, peaceful and beautiful.";
"4";"World Heritage Listed Gardens";"Located on the northern edge of the city these gardens are a beautiful example of old English  style with sweeping lawns and elms, oaks and plane trees and the occasional evergreen Moreton Bay Fig. It also houses on its 24 HA area the Royal Exhibition Buildings and Melbourne Museum.Likethe Royal Exhibition Buildings the gardens are UNESCO World Heritage listed.";
"4";"Beautiful for Covid-19 lock down walks";"Beautiful place to go if you live in the 5KM radius for the lock down at any time.<br>You will forget your troubled , be Mindful and connected to the Trees , flowers and birds, just beautiful";
"4";"See the changing of the seasons";"The heritage-listed Carlton Gardens were establised in 1880 to encompss the Royal Exbibition Building, which is one of the world's oldest surviving.exhibition pavilions. The Gardens also take in the modern Melbourne Museum and the Tennis Courts. There's also a children's playground and several fountains. The most impressive feature of the Gardens is the grove of well-grown European deciduous trees, which change colour with the seasons. This is quite unusual in Australia, because native trees are favoured these days in public parks. Some mature Morton Bay Figs grace the park. They are a popular meeting place for Melbourne's indigenous people.,";
"5";"Oldest Catholic Church in Victoria";"St. Francis opened in 1845 making it the oldest Catholic Church in Victoria. Plain exterior hides a beautiful interior with pretty cedar ceiling, colorful walls and columns, and stained glass windows. Underwent a $2.8 million restoration in 1990s. Attracts 10,000 visitors each week.";
"5";"Melbourne's oldest Catholic church";"In normal times, before the lockdown, Mass would be said throughout the day and evening. Sadly, religious observances are restricted. The church was constructed between 1841 and 1855. The church was founded by a member of the Franciscsan order, who named the church after St Francis of Assisi. St Francis is favoured by city workers, for whom is a convenient place to filfill their religious oblidations";
"5";"Oldest Catholic Church.";"Located on the corner of Elizabeth and Lonsdale Streets this is the oldest Catholic Church in Melbourne. Quite a popular place on a Sunday morning. If you intend visiting, please allow extra time to QR scan in due to COVID restrictions.";
"5";"Favoured by city workers";"St Francis Church is one of the oldest Catholic churches in Melbourne. It is also very busy. Mass is said almost around the clock. It is a favourite church for city workers.";
"5";"Victoria's oldest Catholic Church";"St Francis Catholic Church is much loved by city workers, who take take the chance to perform their religious obligations here, Mass is said almost around the clock.  St Francis is the oldest Catholic Church in Victoria. dating from before the Great Australian Gold Rush in 1851. iThe Church was upgraded recently. The Church is in Londale Street at the corner of Elizabeth Street, not far from the city centre. It's a fine old Church. Unfortunately, services have been suspended for the duration of the corona virus pandemic.";
"5";"Stuccoed Gothic";"On the corner of Lonsdale Street and Elizabeth Street is the oldest Catholic Church in this state. St Francis Church was designed by Samuel Jackson and built between 1841 and 1845. When the Irish Franciscan Fr Patrick Geoghegan laid the foundation stone on 4 October 1841, he named the church in honour of St Francis of Assisi, the founder of his order. A small timber chapel (1839) was located on the site while the present church was being built.<br><br>St Francis has a close historical and religious association with St Mary of the Cross MacKillop (1842'1909), who was baptised at St Francis Church in 1842. She later made her first Holy Communion at St Francis' and also received the Sacrament of Confirmation in this church.<br><br>It's inspired to see a church surviving amidst a busy city... it's says something about the community that meets there for mass.";
"5";"Elegant Church";"I visited the St. Francis Church in Melbourne during my business trip to Australia in April 2019.  It had a very interesting interior.  Since mass was about to start I did not stay very long.";
"5";"Quaint and wonderful church in the heart of Melbourne!";"A must for Catholic devotees visiting Victoria.  This is the oldest Catholic Church in Victoria. Located in the middle of the CBD. It is an auspicious start for a trip in Melbourne.";
"5";"Big Old Church";"This church is prominent on Lonsdale and you really notice while walking by.  It's very old by Australian standards.";
"5";"An old and beautiful church";"This old and beautiful Catholic church is the oldest in Victoria and is well worth a visit when on Lonsdale Street. The interior is the hidden treasure of this church with glorious stained glass, high ceilings and a marble baptismal font.";
"5";"Very old Catholic church";"By Melbourne standards, St Francis is old.  My family would have first come here over 150 years ago and its foundation stone was laid in 1841. It is not the fanciest church, as it was built before the Gold Rush when money was less plentiful.  It is nicer inside than out.";
"5";"St Francis";"One of the oldest church in Melbourne. <br><br>The external of the church does no justice to what is inside. Beyond the simple facade is an interior that has no end to your imagination. From the intricate art work to the solemn ambiance, its a place for prayer and a place to find yourself.";
"6";"Contrasting";"Built in 1858 this church strongly contrasts against the cityscape that has grown around it.. with high risers reflecting it's stunning architecture on their mirror-like finish. <br><br>The architect was Joseph Reed, who also designed many notable buildings in Melbourne, including the Town Hall, the Public Library and the Exhibition Buildings, as well as Collins St Baptist Church, Scots Church and St Michael's.Joseph was an English gentleman that arrived in Australia when he was about 30 years old, within a year he won a competition to build the library. <br><br>Contrary to the Methodist practice at the time, this elegant gothic church was built at the insistence of Daniel Draper, who was known for his sagacious leadership. <br><br>In the front court yard of the church there is a statue of John Wesley,  it was presented to the church to mark the centenary of Methodism in Victoria in 1935. The statue is the work of sculptor Paul Montford, the statue was commissioned by the Cato family, who ran a chain of grocery stores in Melbourne.<br><br>Paul Raphael Montford was a well known sculptor in England before coming to Australia. After WW1 commissions became scarce and he came out to Australia, but work was scarce in Australia as well, so he taught at Gordon Institute of Technology in Geelong.";
"6";"Founder of Methodism";"John Wesley was a great English evangelist who founded the Methodist movement. The Methodists in Australia merged with several other Protestant denominations to form the Uniting Church. This Methodist Church is quite beautiful. A statue of John Wesley stands in the front.";
"6";"Ornate Church Dating Back To 1858";"The Wesley Church in Melbourne is now one of the most attratctive churchs in Melbourne with the reconstruction of new high-rise buildings around it and the excellent open spaces created, Built in 1858 in Gothic style, some said too ornate for the Methodist's was named after John Wesley the founder of Methodism. His statue stands out th front.Knew some who was married there. it did not last.";
"6";"Memorial to a great evangelist";"John Wesley (1703-1791) could gather a crowd of 5,000, with no amplification except his voice, yet they could hear everything he said  His preaching began the Wesleyan Movement. This fine bluestone church is in the middle of a major commercial rebuilding project. The Gospel Hall (Chinese congregation) is a monument to he universality  of his teaching. There is also statue of John Wesley in front of the Church.";
"6";"One of the most beautiful and historic churches in Melbourne built in 1858";"This is a old historic bluestone gothic designed church on Lonsdale street near the Telstra building. It is currently being renovated, expected to finish late 2019 and there is a high rise next door.<br><br>The church is designed by the same architect who did Melbourne Town Hall and Scots Church on Collins St. The interior is very historic with many beautiful glass pane windows depicting biblical scenes or people. I highly recommend going in and taking a look if it is open. The upper floor interior provides a much better view of the church but is almost always locked and inaccessible. I have been up there as a kid as I attended this church for many years and the view on upper floor is amazing. <br><br>There are some famous Australian art works by Australian Artist Rupert Bunny notably The Prodigal Son and Abraham's Sacrifice. The paintings are huge, you can't miss it, and in the foyer when you first walk in before you enter the main church. Do check out the little old chapel at the back of the church too, it is really pretty and serene as well as the little rooms at the front of the church if they are not locked. You feel like you have gone back in time to Victorian England.<br><br>The magnificent organ inside the church is the first pipe organ in Melbourne and imported from England. It was built in 1842 and is still being played in congregations today. It is worth attending a Sunday worship just to hear the organ being played.<br><br>The church still has its original old wooden seats with old cushions and it is still being heated by metal pipes running along the bottom of the seats. Those old cushions have been around since I was attending church there in 1970s.<br><br>This is also one of the first Chinese Churches in Melbourne. There is a Chinese Mission Church in 196 Little Bourke Street which the Wesley missions built in 1872 for the early Chinese who came here for goldfields.  The early Chinese congregations use to meet up here until 1970s when the congregation got too big, and this building is still owned by Wesley Uniting Church today but used for other activities.   The Chinese (both Cantonese/Mandarin) congregation has grown too large and moved to the main church. They meet every Sunday at 9:15am and finish at 10:30 whilst the English congregation starts at 11am.<br><br>There is a huge statue of John Wesley at the front and a small garden with not much flowers. There are sandstone buildings at the back of the church too, what use to be the car park and caretakers' building.<br><br>How to get to the church: it is only 5 minutes walk from QV/Melbourne Central on Lonsdale St.";
"6";"Important Church";"This is an important historic church, although at the current time it is being dwarfed by a huge skyscraper under construction. The construction makes it very hard to get to the church.  Hopefully it will survive the transformation.";
"6";"An early Protestant church";"This is a mid-19th century Gothic-style stone church. It is significant for its architecture and its place in Melbourne's religious and philanthropic social history. In the past Lonsdale Street and Little Lon were sites of a great deal of human need, and the people of this church were alert to those needs.<br>The church is set back from the street and has stone paving and trees around it, and tall buildings nearby. So it usually looks a little overshadowed, perhaps even shabby. The fact that it is not always open for casual visitors may put you off, as may the presence of a few beggars and homeless people in the grounds. An adjacent building, the Princess Mary Club (a residential hostel for female students and workers until it closed in the 1970s), has scaffolding around it and is destined to be demolished so the church can co-operate with real estate developers to build a tower on that part of its land.<br>The interior of the church is atmospheric and there are a couple of significant paintings. Congregations worshipping in several languages make use of the building and its associated facilities.";
"6";"Wesley Church welcomes visitors";"John Wesley was the founder of Methodism.  The Methodist Church later became part of the Uniting Church of Australia. Wesley was a great evangelist. This church welcomes visitors, check for service times appropriate to your language group.";
"6";"Church";"This is another old church here.A. good old architectural design.The inside is also pretty.If you like churches visit.";
"6";"Another beautiful Melbourne church";"Another architectural gem designed by Joseph reed. One of the most beautiful old buildings in Melbourne. I also love the statue of John Wesley outside the church";
"6";"Multicultural Church";"Wesley Church is named for John Wesley, founder of the Methodist Church. It is now a parish of the Uniting Church of Australia, formed from the amalgamation of the Methodist  Church, the Congregational Church and part of the Presbyterian Church. It has a Chinese congregation and multicultural congregation. Wesley Church is good looking without being spectacular but it serves the believers well. It is slightly off the beaten track, but it is not hard to find.";
"6";"Weselayan Church in Melbourne";"This church  was a Wesleyan church and has the statue of Wesley out the front. It is mostly open for silent prayer and is very heritage in character once you go in side. It is now a Uniting Church and the other Uniting Church in Collins Street was a Congregational Church-St Michaels. The Wesley Mission is closed and hopefully will be back after renovations. The third Uniting church is the Welsh Church in La Trobe Street-but much smaller.";
"7";"Quiet lunchtime";"This old church, dating back 150 years is a quiet place to sit at lunchtime.  The rough bluestone contrasts with the green vegetation.  You could almost pass by without noticing it among the tall buildings nearby.";
"7";"Bluestone Beauty on Bourke";"Walking by on my way to the pub and saw this beautiful old church and had to stop and admire! Occupying the site from early colonial times, 1853, the present church was built in 1869 and looks brilliant to this day. The Bluestone construction with white offsets and the exposed timber rafters with several stained glass features makes for an impressive building. Really good that these sites are open for the general public to view and admire regardless of faith!";
"7";"Great historic church";"In Melbourne a few days ago I noticed that the church was open so in I went for a look.<br>A lovely historic building of beautiful blue Stone built about 1870, there were some great stonemasons around in those days and they did a lovely job .<br>Just imagine the stories it could tell , apparently it was a favourite place for seamen at that time .<br>So great that it has been preserved and is now a iconic building in a modern Melbourne Street.<br>Lovely and quiet inside , nice spot to say a prayer in solitude in the busy city .<br>Very close to Southern Cross Station, well worth a visit";
"7";"Church for seamen";"St Augustine's is one of the oldest Catholic churches in the city of Melbourne. It was built of bluestone, the prefered material for public buildings at the time. The church was built in neo-Gothic style between 1869 to 1870. . It has a prominent tower. The parish of St  Augustine is composed of city workers. it is also  famous for its mission to seamen";
"7";"St Augustine Church";"St Augustine Church was built  in 1869-1870 in the Neo-Gothic style of axed bluestone with sandstone dressings. The tower with caps and finials cut in bluestone is the most prominent feature of the church.It has nice timber varnished trusses on the roof and stain glass windows. It is a very attractive church and is on he Victorian heritage Register and is National Trust classified.";
"7";"Small/warm welcome catholic church in CBD";"It's amazing that small lovely , still on service, catholic parish church of St augustine is hiding in the skycrapers area , in Busy district in Melbourne. The staffs are welcome you to visit but be polite when there is ceremony ongoing . It's historical building that worth visiting after being tired long walk in the nearby shopping district.";
"7";"Most favourite church in Melbourne";"Yes there are other grander and larger churches in Melbourne, but for whatever reason this one stands out for me as being quite special.  No Melbourne visit goes without a visit to St Augustines Church.  It is a quaint church built using bluestone in 1867, it has a sweet garden and is unassuming on the inside.  It is situated on Bourke Street not far from Spencer Street and surrounded by office buildings and nightclubs.";
"7";"Nestled amidst the city buildings";"This bluestone [basalt] church is close to Spencer Street. Unlike some Roman Catholic churches it is largely unadorned internally although there are two beautiful rose windows. It is actually larger inside than may be imagined with a timber ceiling,  a central nave and aisles with cast iron columns . The lawn and gardens around the church make it a little oasis in the one area of the city that does not have other gardens.";
"7";"A lovely little church";"This is a lovely little church up. A place to go and sit and reflect.  There is a little garden and it's nice to go if Churches are your thing.  If you are wanting some quiet reflection time it's definitely a nice place to go and sit.";
"7";"Quiet time";"I was told about this church by staff at St Francis.  On my last day with only 2 hours before heading for airport I strolled down to visit this church.  It is smaller in size and nowhere near as decorated but had the right feel.  It was lunch time and to my surprise a mass began.  There were about 60 people of various ages and backgrounds attending the service. It was quite cool inside so coat for winter.  Nice garden outside and a good spot for quiet reflection in the middle of a busy city.";
"8";"Free Lunchtime Concerts on Wednesdays";"Built between 1819 and 1824 by convict labour and designed by former-convict-turned-government -architect Francis Greenway, St James' Anglican Church is Australia s oldest church. <br>The first service was held on 6th January 1822, when the new colony not yet 50 years old.<br>If the architecture looks a little unusual that's because it was originally designed to be a courthouse. Macquarie's grand plans for an expansive public works programme came a bit unstuck when a London report found that it was all too expensive. Some buildings were cancelled or put on hold and the courthouse was converted to a church. The planned prison underneath the building became the crypt.<br>The most striking feature is the 52 metre tall copper steeple. However theft was another problem for Macqurie and when the spire was erected in 1824, the copper sheets were stamped with arrows to deter thieves (a constant problem in a penal colony).<br>St James is still an active church today with regular masses so it is open to the public to walk in.<br>On Wednesdays there are a free lunchtime concerts (donations accepted), starting around 1pm. I happened to wander past around this time and the doors were open so I took a seat up the back and enjoyed the last part of the concert.";
"8";"Fine example of Georgian style";"Great charm and a quiet grandeur that is very pleasing on the eye, one can imagine early colonists being pleased with their efforts, and rightly so.";
"8";"Dismantling the Organ";"I was somewhat disconcerted when I arrived to see workmen removing pipework from the church and the main entry barricaded to the public. One of the workmen advised that I could use the side entry. Once inside I discovered that the organ was being dismantled ans a farewell concert of organ music had been held on 30th October. Plenty to interest inside with the stained-glass windows and various memorials and monuments. The church dates to 1819 and was consecrated in 1824. The building is a good example of Georgian architecture with an impressive portico fronting the West Street entry. It unfortunate that the church is surrounded by higher buildings. Worth visiting if in the area for the history and the inscriptions on the many memorials embedded in the walls.";
"8";"A great example of early colonial Georgian";"Make sure you see the stained glass window in the Chapel of the Holy Spirit (the southern side of the church).  Modern and magnificent.";
"8";"St James Anglican Church";"This is the oldest church in City and has been in continuous use from its consecration from 1824 to now. It was named in honour of St James the great. Francis Greenway the convict architect designed the church. St James Railway station is also named after the church. The church contains a rare collection of 1800's marble memorials, has a painted Children's Chapel and has rare heritage items.";
"8";"Impressive building";"St. James Church is located in a central part of the city of Sydney, amongst legal and commercial buildings. It is a significant part of the city as it is the oldest surviving building in the area, having been built in 1824. It is a lovely church and part of the history of Sydney,and is worth a look if you happen to be passing by.";
"8";"Peep into the past";"While travelling through Martins Place, we came upon St James' Church and were pleasantly surprised about the antiquity and heritage of the church. We got to explore the church and were awestruck by the beauty of the church. The pulpit has a history of its own. Several well known people are buried here too.";
"8";"Attractive looking church";"Interesting little church situated opposite Hyde Park Barracks Museum. It stands proudly amongst and overlooked by the modern tall office buildings. Built in the early 19th century the exterior is very impressive. We only viewed it from the outside during our free walking tour around this part of Sydney.";
"8";"This place is incredible";"Have a look at this church,rich in history.<br><br>What a remarkable building. This is where the G and M Whitlam have there ashes interned and Kerr's too quite remarkable.<br><br>Ask if you can go under ground and have a look.";
"8";"Lovely church";"The St James Church is part of the law court complex at the corner of St James Road and Macquarie Street in Sydney. The church originally, in 1819, was meant to be court but became a church in 1824. Nice location near the current court complex, NSW Parliament House, Sydney Hospital, NSW library etc, so lots to see and do in the area. Well worth a visit.";
"8";"Amazing interior! High Anglican Church, very close to Catholicism";"It is an amazing church that is alive with history! You can feel the serenity and the welcoming peace of the place.<br>It is so near to St.James station, and also to the Art Gallery, so take this place as one of your stop-over in your cultural visit of Sydney CBD.<br>Beautiful indeed!";
"8";"Sydney's oldest church worth a visit";"Originally designed as a court house but the brief was changed to a church. I visited between 11am and noon and found only one couple there and no one from the church.<br>There is a very impressive copper dome inside and some very interesting plaques of remembrance dating back to when it was built , some of which had military information about battles fought etc.<br>There is music played at various times as well";
"9";"Lovely service, people were welcoming and friendly. Enjoyed the hospitality afterwards, will definitely visit again.";"Attended the Sunday morning service and was very enjoyable. <br>The people were very friendly and welcoming, especially the hospitality after the service.";
"9";"Great op shop and community events";"There are several things connected with St Mary's that I've visited recently.<br><br>Firstly the St Mary's Op Shop, which is located on 47 Peel Tce.  It's outstanding!  Staff are friendly, and just want items to get into the hands of new owners, so the things for sale are very cheap - cheaper than most other op shops in Busselton.  For example, books are less than a dollar, and kids books are 10 for $1.  Really great place to stop in, and always busy!<br><br>Then there's the St Mary's Family Center, right besides the church.  They have community events here.  For example, in the summer they hosted the Chamber Philharmonia Cologne group for a concert, which we attended.  Great venue for a concert of this nature.  The local organizers did a great job of running things.";
"9";"A visit to St Mary's with My Sister from Oregon";"St Mary's is a site not to be missed when in Busselton. The History is so interesting at this Historical Site. Take the time to read all the information inside. Take a Seat and take in the Peace and Quiet you shall find yourself I am sure saying a few words to the Man upstairs I am sure as you sit and come out of the Church feeling so relaxed and Happy. They do have volunteers that can tell you the History of the Church such lovely people to have a chat with. Take a wander around the Cemetery taking in the ages on the Grave Stones very interesting. I am sure who ever does take the time to visit shall be glad they did.";
"10";"Small church with colourful paintings";"Located close to the Melbourne Museum, this small historic church is well maintained and filled with colourful wall paintings. Definitely worth a look so include in your downtown walking itinerary.<br>Thanks for the vote of you found this review helpful.";
"10";"A Romanian Orthodox Church In Melbourne- Parish Of St Peter & Paul";"This is an interesting old stone Church under the name of St Peter & St Paul located in Queensberry Street Carlton and being Romanian Orthodox it was somewhat of surprise ( I have recently returned from Brasov in Romania) that there are sufficient Romanians in Melbourne of the Orthodox faith to attend. It was well attended when visited and the church has some interesting murals on the exterior and in the entrance. Worth a visit.";
"11";"Beautiful church";"Before starting a weeks holiday in York my twin brother Stephen and I decided to have a two day break in that other famous Roman walled city namely Chester ,a city rich in architectural gems ,one such beautiful building is the Welsh Presbyterian Church .<br>A wonderful looking building,the work of architects A and G Audsley , constructed in 1866 ,this lovely looking Victorian era structure is built from yellow sandstone with a slate roof,a Grade II listed building,I love the facade,the stone round window reminds me of the Rose Window in York Cathedral ,it's a very photogenic building ,makes for some great photographic opportunities and is easy to locate along St John Street.";
"12";"One of the oldest churches in the city";"The building seems made from Sandstone, which is a rare stone for churches in Melbourne.  It dates back to 1857 and has an impressive organ and stained glass within.  There is a memorial to the Great War in the St. Michael Chapel, as well.";
"12";"Nice Old Church";"A very noble community church for St. Kilda, pleasant architecture and a town icon.  Very nice and pleasant.";
"12";"Gothic Structure";"A very impressive Gothic style building, which is supposed to be as attractive internally and externally. However, sadly it is closed to the public except when services are being conducted. However, the exterior is fascinating enough to enjoy the details and perhaps get the camera clicking.";
"12";"Go back in time and enjoy this great church";"This is a very old church and is one of St Kilda's hidden gems. The church obviously needs some work to be done - but we should get behind it to support the renovations.";
"12";"Church needs help from community";"Christ Church St Kilda is over 160 years old. This fine sandstone building  has stood the test of time since 1854.. The Church is involved in the community, but now it needs the community to return the favour for urgently needed restoration. Estimated cost is $2.6 million, and it is conducting an appeal to raise the money. Christ Church St Kilda is an Anglican Church, On Sunday sung Eucharist is celebrated at 9:00 am and informal Eucharists at 11:00 am.";
"12";"Local church";"The Christ Church St Kilda is a lovey old church and an important part of the St Kilda comunity.<br> It is worth a quick visit when you are in the area.";
"12";"Historical and beautiful architectural Church";"It's not open for tours but what a find. It may be open during the week but go there for their Sunday service at 9 or 11am and the architecture is fabulous. It is religious and gives a serene atmosphere with peace as their underlying quality. It is religious and gives a serene atmosphere with peace as their underlying quality. Give a donation for the church's preservation of the building and admire and be amazed and enjoy the company of the local residents.";
"13";"Visitors are always welcome";"The Scots built this church to the glory of God. It  is a magnificent structure, with lots of dark wood and light-filled windows. The substantial organ dates from an earlier age. The Presbyterian faith is a variety of Calvinism, as elaborated by the Scot, John Knox.  The Presbyterian faith still has many adherents. There is always a guide on hand to answer questions about the church. Visitors are welcome, to inspect the church or spend some quiet time. Entry is free.";
